Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Le monde arabe,ARB,-5.36387114123261
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Petits états des Caraïbes,CSS,..
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Europe centrale et les pays baltes,CEB,4.69757529045376
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,de dividende précoce démographique,EAR,4.42643853592276
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Asie de l’Est et Pacifique,EAS,5.76047440989207
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Asie de l’Est et Pacifique (hors revenu élevé),EAP,7.65602801108476
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Asie de l’Est et Pacifique (BIRD et IDA),TEA,7.65602801108474
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Zone euro,EMU,2.69060426955583
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Europe et Asie centrale,ECS,2.31372842744733
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Europe et Asie centrale (hors revenu élevé),ECA,-0.739072215416712
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Europe et Asie centrale (BIRD et IDA),TEC,0.0810525279703285
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Union européenne,EUU,2.9305239540129
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Fragile et les situations de conflit touchées,FCS,..
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Pays pauvres très endettés (PPTE),HPC,7.91372107691895
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Revenu élevé,HIC,2.57191549725452
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,BIRD seulement,IBD,4.31371813027386
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,BIRD et IDA,IBT,4.29556211120763
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,IDA mélange,IDB,1.69636668547066
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,IDA seulement,IDX,7.35319579578773
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,IDA totale,IDA,4.00237250939375
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,de dividende tardif démographique,LTE,3.14926356926615
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Amérique latine et Caraïbes,LCN,0.425735479652232
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Amérique latine et Caraïbes (hors revenu élevé),LAC,0.228662246171197
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Amérique latine et Caraïbes (BIRD et IDA),TLA,0.353517683483901
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Pays les moins avancés : classement de l’ONU,LDC,5.99818325019857
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Revenu faible et intermédiaire,LMY,4.29768638712926
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Faible revenu,LIC,5.61119507529308
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,"Revenu intermédiaire, tranche inférieure",LMC,6.44405692045915
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Afrique du Nord et Moyen-Orient,MEA,-4.32311515235708
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,1.18158341761756
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,1.18158341761756
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Revenu intermédiaire,MIC,4.28403119026616
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Amérique du Nord,NAC,2.68918014841792
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Non classifié,INX,..
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Pays membres de l'OCDE,OED,3.03898166254444
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Autres petits états,OSS,-2.59201142530185
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Petits états insulaires du Pacifique,PSS,..
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,de Post-dividende démographique,PST,2.86580622719764
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,de Pré-dividende démographique,PRE,2.82379092673686
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Petits états,SST,-2.21300440960157
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Asie du Sud,SAS,8.36290313431196
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Asie du Sud (BIRD et IDA),TSA,8.36290313431196
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Afrique subsaharienne,SSF,3.21674985466198
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Afrique subsaharienne (hors revenu élevé),SSA,3.21674985466198
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Afrique subsaharienne (BIRD et IDA),TSS,3.21674985466198
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,"Revenu intermédiaire, tranche supérieure",UMC,3.63242352156445
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Monde,WLD,3.13334710859108
Revenu national net ajusté (croissance annuelle en %),NY.ADJ.NNTY.KD.ZG,Afghanistan,AFG,..
