"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","A","2015",6.056423,
"AUT","UNEMP","TOT","PC_LF","A","2015",5.723468,
"BEL","UNEMP","TOT","PC_LF","A","2015",8.481071,
"CAN","UNEMP","TOT","PC_LF","A","2015",6.908333,
"CZE","UNEMP","TOT","PC_LF","A","2015",5.046221,
"DNK","UNEMP","TOT","PC_LF","A","2015",6.278275,"B"
"FIN","UNEMP","TOT","PC_LF","A","2015",9.367311,
"FRA","UNEMP","TOT","PC_LF","A","2015",10.35981,
"DEU","UNEMP","TOT","PC_LF","A","2015",4.624955,
"GRC","UNEMP","TOT","PC_LF","A","2015",24.90084,
"HUN","UNEMP","TOT","PC_LF","A","2015",6.817803,
"ISL","UNEMP","TOT","PC_LF","A","2015",3.966664,
"IRL","UNEMP","TOT","PC_LF","A","2015",9.909575,
"ITA","UNEMP","TOT","PC_LF","A","2015",11.89388,
"JPN","UNEMP","TOT","PC_LF","A","2015",3.375,
"KOR","UNEMP","TOT","PC_LF","A","2015",3.591667,
"LUX","UNEMP","TOT","PC_LF","A","2015",6.658826,
"MEX","UNEMP","TOT","PC_LF","A","2015",4.335992,
"NLD","UNEMP","TOT","PC_LF","A","2015",6.87228,
"NZL","UNEMP","TOT","PC_LF","A","2015",5.35,
"NOR","UNEMP","TOT","PC_LF","A","2015",4.295396,
"POL","UNEMP","TOT","PC_LF","A","2015",7.50308,
"PRT","UNEMP","TOT","PC_LF","A","2015",12.44469,
"SVK","UNEMP","TOT","PC_LF","A","2015",11.48227,
"ESP","UNEMP","TOT","PC_LF","A","2015",22.05655,
"SWE","UNEMP","TOT","PC_LF","A","2015",7.432082,
"CHE","UNEMP","TOT","PC_LF","A","2015",4.80018,
"TUR","UNEMP","TOT","PC_LF","A","2015",10.24497,
"GBR","UNEMP","TOT","PC_LF","A","2015",5.301053,
"USA","UNEMP","TOT","PC_LF","A","2015",5.291667,
"CHL","UNEMP","TOT","PC_LF","A","2015",6.213719,
"EST","UNEMP","TOT","PC_LF","A","2015",6.191967,
"IDN","UNEMP","TOT","PC_LF","A","2015",6,
"ISR","UNEMP","TOT","PC_LF","A","2015",5.241667,
"RUS","UNEMP","TOT","PC_LF","A","2015",5.568395,
"SVN","UNEMP","TOT","PC_LF","A","2015",8.962607,
"ZAF","UNEMP","TOT","PC_LF","A","2015",25.35,
"COL","UNEMP","TOT","PC_LF","A","2015",8.960834,
"LVA","UNEMP","TOT","PC_LF","A","2015",9.875636,
"LTU","UNEMP","TOT","PC_LF","A","2015",9.119895,
"BRA","UNEMP","TOT","PC_LF","A","2015",8.44,
"ARG","UNEMP","TOT","PC_LF","A","2015",7.64,
"BGR","UNEMP","TOT","PC_LF","A","2015",9.749455,
"ROU","UNEMP","TOT","PC_LF","A","2015",6.815378,
"SAU","UNEMP","TOT","PC_LF","A","2015",5.59,
"IND","UNEMP","TOT","PC_LF","A","2015",2.782586,
"CHN","UNEMP","TOT","PC_LF","A","2015",4.621428,
"CRI","UNEMP","TOT","PC_LF","A","2015",9.003258,
