"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHEXP","TOT","AGRWTH","A","2015",-0.235512013440479,
"SVN","HHEXP","TOT","AGRWTH","A","2015",2.02849218500482,
"IDN","HHEXP","TOT","AGRWTH","A","2015",4.8414945222352,
"NLD","HHEXP","TOT","AGRWTH","A","2015",1.97703159315073,
"DEU","HHEXP","TOT","AGRWTH","A","2015",1.91602119853241,
"CZE","HHEXP","TOT","AGRWTH","A","2015",3.69423446704174,
"EA","HHEXP","TOT","AGRWTH","A","2015",1.85432066231263,
"EU","HHEXP","TOT","AGRWTH","A","2015",2.14691365678732,
"USA","HHEXP","TOT","AGRWTH","A","2015",3.68615901922302,
"TUR","HHEXP","TOT","AGRWTH","A","2015",5.42800041781187,
"GRC","HHEXP","TOT","AGRWTH","A","2015",-0.184193302915265,"E"
"POL","HHEXP","TOT","AGRWTH","A","2015",2.99322463554519,
"ITA","HHEXP","TOT","AGRWTH","A","2015",1.83216387636265,
"PRT","HHEXP","TOT","AGRWTH","A","2015",2.0381023250989,
"IRL","HHEXP","TOT","AGRWTH","A","2015",3.0821635501205,
"CHL","HHEXP","TOT","AGRWTH","A","2015",2.12309490983751,
"MEX","HHEXP","TOT","AGRWTH","A","2015",2.71540206843069,
"SVK","HHEXP","TOT","AGRWTH","A","2015",2.76385366903768,
"CHE","HHEXP","TOT","AGRWTH","A","2015",1.74625159354001,
"ZAF","HHEXP","TOT","AGRWTH","A","2015",1.93268521057164,
"AUS","HHEXP","TOT","AGRWTH","A","2015",2.75299713837892,
"CAN","HHEXP","TOT","AGRWTH","A","2015",2.29457936575649,
"NOR","HHEXP","TOT","AGRWTH","A","2015",2.70989740902227,
"IND","HHEXP","TOT","AGRWTH","A","2015",7.41596575616851,
"KOR","HHEXP","TOT","AGRWTH","A","2015",2.20397378928573,
"ESP","HHEXP","TOT","AGRWTH","A","2015",2.94754243503858,
"BEL","HHEXP","TOT","AGRWTH","A","2015",1.58510294788026,
"EST","HHEXP","TOT","AGRWTH","A","2015",4.96728306750359,
"SWE","HHEXP","TOT","AGRWTH","A","2015",3.5118319624191,
"ISL","HHEXP","TOT","AGRWTH","A","2015",4.54448366276654,
"GBR","HHEXP","TOT","AGRWTH","A","2015",2.98532971574784,
"FIN","HHEXP","TOT","AGRWTH","A","2015",1.88841453287873,
"ISR","HHEXP","TOT","AGRWTH","A","2015",4.0591400064311,
"LUX","HHEXP","TOT","AGRWTH","A","2015",1.79260369957951,
"NZL","HHEXP","TOT","AGRWTH","A","2015",3.85349831958448,
"HUN","HHEXP","TOT","AGRWTH","A","2015",3.84867042840223,
"FRA","HHEXP","TOT","AGRWTH","A","2015",1.47901854426135,
"RUS","HHEXP","TOT","AGRWTH","A","2015",-9.72954306579158,
"AUT","HHEXP","TOT","AGRWTH","A","2015",0.487938119597695,
"DNK","HHEXP","TOT","AGRWTH","A","2015",2.28054937849902,
"BRA","HHEXP","TOT","AGRWTH","A","2015",-3.21649272593147,
"LVA","HHEXP","TOT","AGRWTH","A","2015",2.53453045846896,
"OAVG","HHEXP","TOT","AGRWTH","A","2015",2.71331376639903,"E"
"COL","HHEXP","TOT","AGRWTH","A","2015",3.0924270904048,
"CRI","HHEXP","TOT","AGRWTH","A","2015",4.62148850665119,
"LTU","HHEXP","TOT","AGRWTH","A","2015",4.06990339375176,
"ARG","HHEXP","TOT","AGRWTH","A","2015",2.756852843069,
"ROU","HHEXP","TOT","AGRWTH","A","2015",2.0002845698506,
"BGR","HHEXP","TOT","AGRWTH","A","2015",2,
"CHN","HHEXP","TOT","AGRWTH","A","2015",8.0138720568523,
"SAU","HHEXP","TOT","AGRWTH","A","2015",3.6872352025205,
