"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","2015",1.508367,
"AUT","CPI","TOT","AGRWTH","A","2015",0.8965653,
"BEL","CPI","TOT","AGRWTH","A","2015",0.5614291,
"CAN","CPI","TOT","AGRWTH","A","2015",1.125241,
"CZE","CPI","TOT","AGRWTH","A","2015",0.3093646,
"DNK","CPI","TOT","AGRWTH","A","2015",0.4520341,
"FIN","CPI","TOT","AGRWTH","A","2015",-0.207932,
"FRA","CPI","TOT","AGRWTH","A","2015",0.03751438,
"DEU","CPI","TOT","AGRWTH","A","2015",0.514421,
"GRC","CPI","TOT","AGRWTH","A","2015",-1.736046,
"HUN","CPI","TOT","AGRWTH","A","2015",-0.06164468,
"ISL","CPI","TOT","AGRWTH","A","2015",1.633058,
"IRL","CPI","TOT","AGRWTH","A","2015",-0.2898791,
"ITA","CPI","TOT","AGRWTH","A","2015",0.03878675,
"JPN","CPI","TOT","AGRWTH","A","2015",0.7895179,
"KOR","CPI","TOT","AGRWTH","A","2015",0.7062082,
"LUX","CPI","TOT","AGRWTH","A","2015",0.4747432,
"MEX","CPI","TOT","AGRWTH","A","2015",2.720641,
"NLD","CPI","TOT","AGRWTH","A","2015",0.6002482,
"NZL","CPI","TOT","AGRWTH","A","2015",0.2927033,
"NOR","CPI","TOT","AGRWTH","A","2015",2.171137,
"POL","CPI","TOT","AGRWTH","A","2015",-0.9333333,
"PRT","CPI","TOT","AGRWTH","A","2015",0.4879386,
"SVK","CPI","TOT","AGRWTH","A","2015",-0.3252198,
"ESP","CPI","TOT","AGRWTH","A","2015",-0.5004613,
"SWE","CPI","TOT","AGRWTH","A","2015",-0.04678474,
"CHE","CPI","TOT","AGRWTH","A","2015",-1.143901,
"TUR","CPI","TOT","AGRWTH","A","2015",7.670854,
"GBR","CPI","TOT","AGRWTH","A","2015",0.4,
"USA","CPI","TOT","AGRWTH","A","2015",0.1186271,
"BRA","CPI","TOT","AGRWTH","A","2015",9.029807,
"CHL","CPI","TOT","AGRWTH","A","2015",4.348773,
"CHN","CPI","TOT","AGRWTH","A","2015",1.4,
"EST","CPI","TOT","AGRWTH","A","2015",-0.492326,
"IND","CPI","TOT","AGRWTH","A","2015",5.872427,
"IDN","CPI","TOT","AGRWTH","A","2015",6.363121,
"ISR","CPI","TOT","AGRWTH","A","2015",-0.63249,
"RUS","CPI","TOT","AGRWTH","A","2015",15.5344,
"SVN","CPI","TOT","AGRWTH","A","2015",-0.5255523,
"ZAF","CPI","TOT","AGRWTH","A","2015",4.509208,
"OECD","CPI","TOT","AGRWTH","A","2015",0.6452918,
"G-7","CPI","TOT","AGRWTH","A","2015",0.2973532,
"OECDE","CPI","TOT","AGRWTH","A","2015",0.8653242,
"COL","CPI","TOT","AGRWTH","A","2015",4.990234,
"LVA","CPI","TOT","AGRWTH","A","2015",0.1742414,
"SAU","CPI","TOT","AGRWTH","A","2015",1.222693,
"EU28","CPI","TOT","AGRWTH","A","2015",0.1,
"EA19","CPI","TOT","AGRWTH","A","2015",0.2,
"LTU","CPI","TOT","AGRWTH","A","2015",-0.8840974,
"CRI","CPI","TOT","AGRWTH","A","2015",0.8019475,
"G-20","CPI","TOT","AGRWTH","A","2015",2.34879,
"ARG","CPI","TOT","AGRWTH","A","2015",10.34879,
"ROU","CPI","TOT","AGRWTH","A","2015",1.96,
"BGR","CPI","TOT","AGRWTH","A","2015",1.256856,
