"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","2015",1.33529276422209,
"AUT","HHDI","NET","AGRWTH","A","2015",-0.049780293657959,
"BEL","HHDI","NET","AGRWTH","A","2015",0.790981325887568,
"CAN","HHDI","NET","AGRWTH","A","2015",2.97441731122053,
"CZE","HHDI","NET","AGRWTH","A","2015",3.55257565716471,
"DNK","HHDI","NET","AGRWTH","A","2015",3.58712102877075,
"FIN","HHDI","NET","AGRWTH","A","2015",1.31303199231443,
"FRA","HHDI","NET","AGRWTH","A","2015",0.991272478456992,
"DEU","HHDI","NET","AGRWTH","A","2015",2.39075578252575,
"GRC","HHDI","NET","AGRWTH","A","2015",-1.41155961553601,"E"
"HUN","HHDI","NET","AGRWTH","A","2015",3.53626383482346,
"IRL","HHDI","NET","AGRWTH","A","2015",3.88211512279556,
"ITA","HHDI","NET","AGRWTH","A","2015",0.991637302917285,
"JPN","HHDI","NET","AGRWTH","A","2015",1.43619827993268,
"KOR","HHDI","NET","AGRWTH","A","2015",4.66772568540948,
"LUX","HHDI","NET","AGRWTH","A","2015",0.929170751429442,
"MEX","HHDI","NET","AGRWTH","A","2015",4.71558794401313,
"NLD","HHDI","NET","AGRWTH","A","2015",1.43380120493547,
"NZL","HHDI","NET","AGRWTH","A","2015",4.5795124696886,
"NOR","HHDI","NET","AGRWTH","A","2015",4.43552869853332,
"POL","HHDI","NET","AGRWTH","A","2015",3.55089847630816,
"PRT","HHDI","NET","AGRWTH","A","2015",2.64029658965334,
"SVK","HHDI","NET","AGRWTH","A","2015",4.09019823666057,
"ESP","HHDI","NET","AGRWTH","A","2015",3.90887270953913,
"SWE","HHDI","NET","AGRWTH","A","2015",2.54147018242045,
"CHE","HHDI","NET","AGRWTH","A","2015",0.858623440351565,"E"
"GBR","HHDI","NET","AGRWTH","A","2015",4.96310261829396,
"USA","HHDI","NET","AGRWTH","A","2015",3.93968354097539,
"EST","HHDI","NET","AGRWTH","A","2015",4.60021131547482,
"RUS","HHDI","NET","AGRWTH","A","2015",-7.09636044571823,
"SVN","HHDI","NET","AGRWTH","A","2015",2.22392105451499,
"ZAF","HHDI","NET","AGRWTH","A","2015",3.20850077203954,
"EA","HHDI","NET","AGRWTH","A","2015",1.6664936237246,
"LVA","HHDI","NET","AGRWTH","A","2015",7.16741278573573,
"CRI","HHDI","NET","AGRWTH","A","2015",4.68252668491546,
"LTU","HHDI","NET","AGRWTH","A","2015",3.50048796808169,
"BRA","HHDI","NET","AGRWTH","A","2015",0.98523655855286,
"ISR","HHDI","NET","AGRWTH","A","2015",3.59159823024820,
"CHL","HHDI","NET","AGRWTH","A","2015",0.15202232202558,
"ARG","HHDI","NET","AGRWTH","A","2015",2.69985230155628,
"COL","HHDI","NET","AGRWTH","A","2015",1.1,
"ROU","HHDI","NET","AGRWTH","A","2015",5,
"BGR","HHDI","NET","AGRWTH","A","2015",5.98523012358220,
"SAU","HHDI","NET","AGRWTH","A","2015",0.20018920720927,
"ISL","HHDI","NET","AGRWTH","A","2015",7.8,
"IDN","HHDI","NET","AGRWTH","A","2015",3,
"TUR","HHDI","NET","AGRWTH","A","2015",4.10026552509287,
"CHN","HHDI","NET","AGRWTH","A","2015",5.32889200723064,
"IND","HHDI","NET","AGRWTH","A","2015",5.10657185076180,


