"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","2015",72.15796,
"AUT","EMP","TOT","PC_WKGPOP","A","2015",71.1,
"BEL","EMP","TOT","PC_WKGPOP","A","2015",61.8,
"CAN","EMP","TOT","PC_WKGPOP","A","2015",72.50833,
"CZE","EMP","TOT","PC_WKGPOP","A","2015",70.225,
"DNK","EMP","TOT","PC_WKGPOP","A","2015",71.975,"B"
"FIN","EMP","TOT","PC_WKGPOP","A","2015",68.55,
"FRA","EMP","TOT","PC_WKGPOP","A","2015",63.825,
"DEU","EMP","TOT","PC_WKGPOP","A","2015",73.975,
"GRC","EMP","TOT","PC_WKGPOP","A","2015",50.8,
"HUN","EMP","TOT","PC_WKGPOP","A","2015",63.95,
"ISL","EMP","TOT","PC_WKGPOP","A","2015",84.725,
"IRL","EMP","TOT","PC_WKGPOP","A","2015",64.775,
"ITA","EMP","TOT","PC_WKGPOP","A","2015",56.275,
"JPN","EMP","TOT","PC_WKGPOP","A","2015",73.39278,
"KOR","EMP","TOT","PC_WKGPOP","A","2015",65.90981,
"LUX","EMP","TOT","PC_WKGPOP","A","2015",66.15,
"MEX","EMP","TOT","PC_WKGPOP","A","2015",60.74515,
"NLD","EMP","TOT","PC_WKGPOP","A","2015",74.15,
"NZL","EMP","TOT","PC_WKGPOP","A","2015",74.27975,
"NOR","EMP","TOT","PC_WKGPOP","A","2015",74.8,
"POL","EMP","TOT","PC_WKGPOP","A","2015",62.925,
"PRT","EMP","TOT","PC_WKGPOP","A","2015",63.925,
"SVK","EMP","TOT","PC_WKGPOP","A","2015",62.725,
"ESP","EMP","TOT","PC_WKGPOP","A","2015",57.8,
"SWE","EMP","TOT","PC_WKGPOP","A","2015",75.525,
"CHE","EMP","TOT","PC_WKGPOP","A","2015",79.2,
"TUR","EMP","TOT","PC_WKGPOP","A","2015",50.15,
"GBR","EMP","TOT","PC_WKGPOP","A","2015",72.725,
"USA","EMP","TOT","PC_WKGPOP","A","2015",68.70962,
"CHL","EMP","TOT","PC_WKGPOP","A","2015",62.44113,
"EST","EMP","TOT","PC_WKGPOP","A","2015",71.875,
"ISR","EMP","TOT","PC_WKGPOP","A","2015",68.31667,
"SVN","EMP","TOT","PC_WKGPOP","A","2015",65.225,
"ZAF","EMP","TOT","PC_WKGPOP","A","2015",43.68032,
"EU28","EMP","TOT","PC_WKGPOP","A","2015",65.6,
"OECD","EMP","TOT","PC_WKGPOP","A","2015",66.25364,"B"
"G-7","EMP","TOT","PC_WKGPOP","A","2015",69.14885,
"EA19","EMP","TOT","PC_WKGPOP","A","2015",64.45,
"COL","EMP","TOT","PC_WKGPOP","A","2015",67.62417,
"LVA","EMP","TOT","PC_WKGPOP","A","2015",68.1,
"LTU","EMP","TOT","PC_WKGPOP","A","2015",67.25,
"RUS","EMP","TOT","PC_WKGPOP","A","2015",70.287,
"BRA","EMP","TOT","PC_WKGPOP","A","2015",54.55,
"CRI","EMP","TOT","PC_WKGPOP","A","2015",63,
"IDN","EMP","TOT","PC_WKGPOP","A","2015",71.259,
"IND","EMP","TOT","PC_WKGPOP","A","2015",53.73,
"CHN","EMP","TOT","PC_WKGPOP","A","2015",85,
"ARG","EMP","TOT","PC_WKGPOP","A","2015",60.98,
"ROU","EMP","TOT","PC_WKGPOP","A","2015",55.88,
"BGR","EMP","TOT","PC_WKGPOP","A","2015",61.27,
"SAU","EMP","TOT","PC_WKGPOP","A","2015",50,
