"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXINCOME","TOT","PC_GDP","A","2015",11.535,
"AUT","TAXINCOME","TOT","PC_GDP","A","2015",10.326,
"BEL","TAXINCOME","TOT","PC_GDP","A","2015",12.619,
"CAN","TAXINCOME","TOT","PC_GDP","A","2015",12.073,
"CZE","TAXINCOME","TOT","PC_GDP","A","2015",3.583,
"DNK","TAXINCOME","TOT","PC_GDP","A","2015",25.266,
"FIN","TAXINCOME","TOT","PC_GDP","A","2015",13.253,
"FRA","TAXINCOME","TOT","PC_GDP","A","2015",8.511,
"DEU","TAXINCOME","TOT","PC_GDP","A","2015",9.802,
"GRC","TAXINCOME","TOT","PC_GDP","A","2015",5.729,
"HUN","TAXINCOME","TOT","PC_GDP","A","2015",5.279,
"ISL","TAXINCOME","TOT","PC_GDP","A","2015",12.99,
"IRL","TAXINCOME","TOT","PC_GDP","A","2015",7.292,
"ITA","TAXINCOME","TOT","PC_GDP","A","2015",11.175,
"JPN","TAXINCOME","TOT","PC_GDP","A","2015",5.788,
"KOR","TAXINCOME","TOT","PC_GDP","A","2015",4.322,
"LUX","TAXINCOME","TOT","PC_GDP","A","2015",9.143,
"NLD","TAXINCOME","TOT","PC_GDP","A","2015",7.595,
"NZL","TAXINCOME","TOT","PC_GDP","A","2015",11.782,
"NOR","TAXINCOME","TOT","PC_GDP","A","2015",10.75,
"POL","TAXINCOME","TOT","PC_GDP","A","2015",4.665,
"PRT","TAXINCOME","TOT","PC_GDP","A","2015",7.313,
"SVK","TAXINCOME","TOT","PC_GDP","A","2015",3.113,
"ESP","TAXINCOME","TOT","PC_GDP","A","2015",7.181,
"SWE","TAXINCOME","TOT","PC_GDP","A","2015",12.517,
"CHE","TAXINCOME","TOT","PC_GDP","A","2015",8.567,
"TUR","TAXINCOME","TOT","PC_GDP","A","2015",3.667,
"GBR","TAXINCOME","TOT","PC_GDP","A","2015",8.908,
"USA","TAXINCOME","TOT","PC_GDP","A","2015",10.565,
"EST","TAXINCOME","TOT","PC_GDP","A","2015",5.726,
"ISR","TAXINCOME","TOT","PC_GDP","A","2015",6.059,
"SVN","TAXINCOME","TOT","PC_GDP","A","2015",5.087,
"OAVG","TAXINCOME","TOT","PC_GDP","A","2015",8.257,
"MEX","TAXINCOME","TOT","PC_GDP","A","2015",3.285,
"CHL","TAXINCOME","TOT","PC_GDP","A","2015",2.006,
"LVA","TAXINCOME","TOT","PC_GDP","A","2015",5.94,
"LTU","TAXINCOME","TOT","PC_GDP","A","2015",3.839,
"ZAF","TAXINCOME","TOT","PC_GDP","A","2015",28.9,
"COL","TAXINCOME","TOT","PC_GDP","A","2015",2.15,
"RUS","TAXINCOME","TOT","PC_GDP","A","2015",13.3,
"BRA","TAXINCOME","TOT","PC_GDP","A","2015",12.7,
"CRI","TAXINCOME","TOT","PC_GDP","A","2015",13.8,
"IDN","TAXINCOME","TOT","PC_GDP","A","2015",9.9,
"IND","TAXINCOME","TOT","PC_GDP","A","2015",11.2,
"ARG","TAXINCOME","TOT","PC_GDP","A","2015",11,
"BGR","TAXINCOME","TOT","PC_GDP","A","2015",20.1,
"ROU","TAXINCOME","TOT","PC_GDP","A","2015",15.5,
"CHN","TAXINCOME","TOT","PC_GDP","A","2015",9.2,
"SAU","TAXINCOME","TOT","PC_GDP","A","2015",3.4,

