Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016]
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Le monde arabe,ARB,10.6150517006843,..,9.59833820244044
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Petits états des Caraïbes,CSS,10.0762734146036,10.2648815903955,10.3913929002675
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Europe centrale et les pays baltes,CEB,8.95230260647647,7.81737006571696,6.4893677503087
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,de dividende précoce démographique,EAR,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Asie de l’Est et Pacifique,EAS,3.90922251323267,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Asie de l’Est et Pacifique (hors revenu élevé),EAP,3.91093056554444,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Asie de l’Est et Pacifique (BIRD et IDA),TEA,3.91093056554444,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Zone euro,EMU,11.6040501873251,10.8363295748239,10.0298058666176
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Europe et Asie centrale,ECS,8.83159139105723,8.47503311825603,8.06771727841335
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Europe et Asie centrale (hors revenu élevé),ECA,7.105060299566,7.35057839662354,7.46356781607182
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Europe et Asie centrale (BIRD et IDA),TEC,7.37123836067355,7.44578515004825,7.39759961808801
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Union européenne,EUU,10.2068386309996,9.38336179750648,8.54004793432319
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Fragile et les situations de conflit touchées,FCS,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Pays pauvres très endettés (PPTE),HPC,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Revenu élevé,HIC,7.37840518443233,6.74122309347266,6.19584405550537
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,BIRD seulement,IBD,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,BIRD et IDA,IBT,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,IDA mélange,IDB,3.66974420769758,4.10037774785911,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,IDA seulement,IDX,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,IDA totale,IDA,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,de dividende tardif démographique,LTE,4.53462915602884,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Amérique latine et Caraïbes,LCN,..,..,8.32486677366314
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Amérique latine et Caraïbes (hors revenu élevé),LAC,..,..,8.43684195475276
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Amérique latine et Caraïbes (BIRD et IDA),TLA,..,..,8.301186134151
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Pays les moins avancés : classement de l’ONU,LDC,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Revenu faible et intermédiaire,LMY,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Faible revenu,LIC,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,"Revenu intermédiaire, tranche inférieure",LMC,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Afrique du Nord et Moyen-Orient,MEA,10.4427704624127,10.5445073411832,10.0407007081835
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,11.6131442878519,11.9969240892392,11.996502274587
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,11.4294157280761,11.805223292229,11.8092226114008
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Revenu intermédiaire,MIC,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Amérique du Nord,NAC,6.24894359788492,5.45730558754751,5.10095648263982
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Non classifié,INX,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Pays membres de l'OCDE,OED,7.35873374752004,6.77423744046575,6.32383134639028
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Autres petits états,OSS,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Petits états insulaires du Pacifique,PSS,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,de Post-dividende démographique,PST,7.40927314693598,6.82350992685866,6.44503215847377
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,de Pré-dividende démographique,PRE,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Petits états,SST,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Asie du Sud,SAS,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Asie du Sud (BIRD et IDA),TSA,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Afrique subsaharienne,SSF,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Afrique subsaharienne (hors revenu élevé),SSA,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Afrique subsaharienne (BIRD et IDA),TSS,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,"Revenu intermédiaire, tranche supérieure",UMC,5.275071968899,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Monde,WLD,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Afghanistan,AFG,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Albanie,ALB,17.4899997711182,17.0799999237061,15.2200002670288
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Algérie,DZA,10.207200050354,11.2061004638672,10.2024002075195
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Samoa américaines,ASM,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Andorre,AND,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Angola,AGO,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Antigua-et-Barbuda,ATG,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Argentine,ARG,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Arménie,ARM,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Aruba,ABW,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Australie,AUS,6.07679986953735,6.05420017242432,5.70989990234375
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Autriche,AUT,5.61969995498657,5.72270011901855,6.01380014419556
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Azerbaïdjan,AZE,4.90999984741211,4.96000003814697,5
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Bahamas,BHS,13.8000001907349,12,12.6999998092651
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Bahreïn,BHR,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Bangladesh,BGD,..,..,4.34999990463257
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Barbade,BRB,12.1700000762939,11.3500003814697,9.72000026702881
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Bélarus,BLR,0.5,1,5.84000015258789
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Belgique,BEL,8.52270030975342,8.48200035095215,7.82969999313354
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Belize,BLZ,8.24390029907227,7.57819986343384,7.00040006637573
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Bénin,BEN,..,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Bermudes,BMU,8.9399995803833,..,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Bhoutan,BTN,2.63000011444092,2.45000004768372,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Bolivie,BOL,2.00650000572205,3.06599998474121,..
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Bosnie-Herzégovine,BIH,27.5172004699707,27.6944999694824,25.4081001281738
Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,Botswana,BWA,..,..,..
