"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.569875,
"EST","QGDP","TOT","PC_CHGPP","A","2015",1.844885,
"ESP","QGDP","TOT","PC_CHGPP","A","2015",3.835173,
"DNK","QGDP","TOT","PC_CHGPP","A","2015",2.342588,
"JPN","QGDP","TOT","PC_CHGPP","A","2015",1.222921,
"NOR","QGDP","TOT","PC_CHGPP","A","2015",1.96714,
"BEL","QGDP","TOT","PC_CHGPP","A","2015",2.032566,
"HUN","QGDP","TOT","PC_CHGPP","A","2015",3.845562,
"KOR","QGDP","TOT","PC_CHGPP","A","2015",2.809103,
"AUT","QGDP","TOT","PC_CHGPP","A","2015",1.014504,
"IDN","QGDP","TOT","PC_CHGPP","A","2015",4.876322,
"SVK","QGDP","TOT","PC_CHGPP","A","2015",4.821919,
"FIN","QGDP","TOT","PC_CHGPP","A","2015",0.560595,
"TUR","QGDP","TOT","PC_CHGPP","A","2015",6.085887,
"GRC","QGDP","TOT","PC_CHGPP","A","2015",-0.437834,"P"
"NZL","QGDP","TOT","PC_CHGPP","A","2015",3.506459,
"ARG","QGDP","TOT","PC_CHGPP","A","2015",2.73116,
"SVN","QGDP","TOT","PC_CHGPP","A","2015",2.210082,
"GBR","QGDP","TOT","PC_CHGPP","A","2015",2.355314,
"AUS","QGDP","TOT","PC_CHGPP","A","2015",2.291301,
"USA","QGDP","TOT","PC_CHGPP","A","2015",2.90802,
"IND","QGDP","TOT","PC_CHGPP","A","2015",7.480051,
"IRL","QGDP","TOT","PC_CHGPP","A","2015",25.162534,
"LVA","QGDP","TOT","PC_CHGPP","A","2015",3.260524,
"ZAF","QGDP","TOT","PC_CHGPP","A","2015",1.193736,
"CZE","QGDP","TOT","PC_CHGPP","A","2015",5.309239,
"DEU","QGDP","TOT","PC_CHGPP","A","2015",1.742338,
"POL","QGDP","TOT","PC_CHGPP","A","2015",3.838897,
"CHE","QGDP","TOT","PC_CHGPP","A","2015",1.333369,
"NLD","QGDP","TOT","PC_CHGPP","A","2015",1.958276,
"EU28","QGDP","TOT","PC_CHGPP","A","2015",2.349852,
"MEX","QGDP","TOT","PC_CHGPP","A","2015",3.287992,
"ISR","QGDP","TOT","PC_CHGPP","A","2015",2.176966,
"SAU","QGDP","TOT","PC_CHGPP","A","2015",4.106443,"E"
"ISL","QGDP","TOT","PC_CHGPP","A","2015",4.748985,
"SWE","QGDP","TOT","PC_CHGPP","A","2015",4.420819,
"CHN","QGDP","TOT","PC_CHGPP","A","2015",6.9,
"CAN","QGDP","TOT","PC_CHGPP","A","2015",0.659177,
"FRA","QGDP","TOT","PC_CHGPP","A","2015",1.112959,
"RUS","QGDP","TOT","PC_CHGPP","A","2015",-2.307707,
"BRA","QGDP","TOT","PC_CHGPP","A","2015",-3.545763,
"LUX","QGDP","TOT","PC_CHGPP","A","2015",4.305238,
"PRT","QGDP","TOT","PC_CHGPP","A","2015",1.792047,
"ITA","QGDP","TOT","PC_CHGPP","A","2015",0.778243,
"CHL","QGDP","TOT","PC_CHGPP","A","2015",2.303767,
"OECDE","QGDP","TOT","PC_CHGPP","A","2015",2.672751,
"G-7","QGDP","TOT","PC_CHGPP","A","2015",2.134842,
"G-20","QGDP","TOT","PC_CHGPP","A","2015",3.519479,
"COL","QGDP","TOT","PC_CHGPP","A","2015",2.955946,
"EA19","QGDP","TOT","PC_CHGPP","A","2015",2.108439,
"LTU","QGDP","TOT","PC_CHGPP","A","2015",2.033148,
"BGR","QGDP","TOT","PC_CHGPP","A","2015",3.989526,
"ROU","QGDP","TOT","PC_CHGPP","A","2015",3.873958,
"CRI","QGDP","TOT","PC_CHGPP","A","2015",3.634885,
