annee;lnrevr_pop;lnpr_fr;lnpr_lait;lnpr_beurre;lnprod_kgpc;lnvaches_pc
1990;10.241051990363;7.91192270176097;5.63574153089463;8.85366542803745;2.22129697020124;-3.03733033129118
1991;10.2155389699442;7.87922754709949;5.67396506923978;8.86631119603263;2.23491344257404;-3.08469991258398
1992;10.2153507036379;8.06434376990471;5.67190380759996;8.8642499343928;2.23021659160518;-3.14446328813676
1993;10.1992701280576;8.01793159603063;5.65342117367615;8.84576730046899;2.23341494155782;-3.15462433304283
1994;10.1921965414564;8.85754283781329;5.65205837783661;8.84440450462946;2.27450056293566;-3.14823782098075
1995;10.1730941726904;8.83589176348217;5.63040730350549;8.82275343029833;2.28879890356245;-3.16479086345587
1996;10.150388657223;8.82021331622544;5.61472885624876;8.8070749830416;2.27718574678883;-3.18019727001397
1997;10.1476972618389;8.80422338729186;5.59873892731518;8.79108505410802;2.42083032980374;-3.22913670619659
1998;10.1587579812927;8.80507883027233;6.47518294331646;8.7919404970885;2.39336427044135;-3.26076616618847
1999;10.1697598675232;8.801152651384;6.47655433177551;8.78801431820016;2.38200041755045;-3.31606822326953
2000;10.1770629597565;8.79187760816368;6.46357314586434;8.77873927497984;2.39219573137616;-3.33668912934592
2001;10.1638039809822;8.79401977505401;6.45999905765093;8.78088144187017;2.36334603989378;-3.35405912557743
2002;10.1520975287627;8.80326264726106;6.46802453383597;8.79012431407722;2.36756080413335;-3.38201449037007
2003;10.1337482478056;8.80862629647259;6.46684191279563;8.79548796328875;2.37910037361367;-3.40100628672448
2004;10.1399757947943;8.83455984591635;6.47227959212728;8.82142151273251;2.38115095273951;-3.42321783992592
2005;10.135894906193;8.86461948385002;6.49805451036541;8.85148115066618;2.38975385087646;-3.45433792983059
2006;10.1583055659389;8.86913976405915;6.51350574138703;8.85600143087531;2.40017027839053;-3.48588641136537
2007;10.1664509350908;8.8498755702006;6.52160486266316;8.83673723701676;2.42382640500779;-3.50849986054744
2008;10.1717905167597;8.84980984689783;6.52890564891402;8.836671513714;2.40951236666179;-3.53891786672517
2009;10.1720704410085;8.85476438070058;6.54447507085352;8.84162604751674;2.41967525763376;-3.54973298607609
2010;10.1756902057402;8.83722576936996;6.53863921800792;8.82408743618612;2.42057267200021;-3.56149617500842
2011;10.1596857379391;8.82126754204887;6.52676797595756;8.80812920886504;2.40051772000899;-3.57885660919625
2012;10.1582263112155;8.81954035845124;6.51906639991944;8.8064020252674;2.42588877362031;-3.58850708169867
2013;10.1639700177412;8.82522551090729;6.52707261131596;8.81208717772345;2.43270537640266;-3.60130510317917
2014;10.1481069682982;8.80637006974536;6.51259755687438;8.79323173656152;2.45613958916647;-3.61803922326662
2015;10.1602461448505;8.79573608284899;6.46602282828597;8.78259774966515;2.45792119939725;-3.62113192228538
2016;10.1609743735491;8.81774176096343;6.44396622805701;8.8046034277796;2.51295182999832;-3.62377199635413
