"age" "job" "marital" "education" "default" "housing" "contact" "day_of_week" "duration" "campaign" "pdays" "previous" "poutcome" "y"
"32058" 58 "technician" "divorced" "university.degree" "no" "no" "cellular" "thu" 181 1 999 0 "nonexistent" "no"
"38874" 42 "management" "married" "university.degree" "no" "yes" "cellular" "mon" 104 3 999 1 "failure" "no"
"16232" 40 "management" "married" "university.degree" "no" "yes" "cellular" "tue" 90 2 999 0 "nonexistent" "no"
"30506" 43 "admin." "single" "university.degree" "no" "yes" "telephone" "mon" 34 6 999 0 "nonexistent" "no"
"15046" 31 "services" "single" "basic.9y" "no" "yes" "cellular" "thu" 753 2 999 0 "nonexistent" "yes"
"21377" 30 "technician" "married" "professional.course" "unknown" "no" "cellular" "mon" 37 2 999 0 "nonexistent" "no"
"40763" 23 "student" "single" "basic.9y" "no" "yes" "cellular" "thu" 954 1 999 0 "nonexistent" "yes"
"32353" 37 "blue-collar" "married" "high.school" "no" "no" "cellular" "fri" 171 1 999 2 "failure" "no"
"8833" 33 "services" "married" "high.school" "no" "yes" "telephone" "thu" 124 2 999 0 "nonexistent" "no"
"36800" 41 "admin." "single" "university.degree" "no" "yes" "cellular" "mon" 95 1 999 0 "nonexistent" "yes"
"28056" 28 "blue-collar" "single" "high.school" "no" "yes" "cellular" "thu" 254 2 999 1 "failure" "no"
"40729" 24 "student" "single" "high.school" "no" "yes" "cellular" "wed" 251 2 6 2 "success" "yes"
"5745" 31 "management" "married" "university.degree" "no" "no" "telephone" "mon" 100 8 999 0 "nonexistent" "no"
"2011" 45 "unknown" "married" "unknown" "unknown" "no" "telephone" "mon" 139 6 999 0 "nonexistent" "no"
"31617" 33 "blue-collar" "married" "basic.6y" "no" "yes" "cellular" "thu" 375 1 999 0 "nonexistent" "no"
"14484" 36 "blue-collar" "married" "basic.4y" "unknown" "no" "cellular" "tue" 753 4 999 0 "nonexistent" "no"
"13128" 25 "technician" "single" "university.degree" "no" "yes" "cellular" "wed" 259 3 999 0 "nonexistent" "no"
"16725" 48 "technician" "divorced" "professional.course" "no" "yes" "cellular" "wed" 547 2 999 0 "nonexistent" "no"
"1225" 50 "entrepreneur" "married" "basic.9y" "no" "yes" "telephone" "thu" 187 3 999 0 "nonexistent" "no"
"7689" 52 "unknown" "married" "basic.6y" "no" "no" "telephone" "fri" 54 4 999 0 "nonexistent" "no"
"36443" 47 "management" "married" "basic.9y" "no" "no" "cellular" "tue" 132 4 999 0 "nonexistent" "no"
"21516" 33 "admin." "single" "high.school" "no" "yes" "cellular" "tue" 167 1 999 0 "nonexistent" "no"
"24488" 36 "unemployed" "divorced" "high.school" "no" "no" "cellular" "mon" 166 2 999 1 "failure" "no"
"35572" 31 "technician" "divorced" "high.school" "no" "no" "cellular" "mon" 41 1 999 0 "nonexistent" "no"
"31801" 35 "services" "single" "high.school" "no" "yes" "cellular" "thu" 332 1 999 0 "nonexistent" "no"
"15639" 30 "management" "single" "university.degree" "no" "yes" "telephone" "mon" 90 3 999 0 "nonexistent" "no"
"5281" 37 "management" "married" "university.degree" "no" "yes" "telephone" "fri" 66 1 999 0 "nonexistent" "no"
"28640" 57 "technician" "married" "university.degree" "no" "yes" "cellular" "thu" 836 1 999 0 "nonexistent" "yes"
"11795" 40 "admin." "married" "university.degree" "no" "no" "telephone" "fri" 17 21 999 0 "nonexistent" "no"
"40196" 72 "retired" "married" "basic.4y" "no" "yes" "cellular" "mon" 128 2 999 1 "failure" "no"
"8587" 45 "self-employed" "single" "high.school" "no" "no" "telephone" "wed" 165 1 999 0 "nonexistent" "no"
"5013" 33 "services" "married" "high.school" "unknown" "no" "telephone" "wed" 227 3 999 0 "nonexistent" "no"
"21650" 30 "management" "married" "high.school" "no" "yes" "cellular" "tue" 19 12 999 0 "nonexistent" "no"
"15389" 33 "admin." "single" "high.school" "no" "no" "cellular" "fri" 191 1 999 0 "nonexistent" "no"
"2277" 53 "admin." "married" "high.school" "no" "yes" "telephone" "tue" 520 1 999 0 "nonexistent" "no"
"23733" 51 "blue-collar" "married" "professional.course" "no" "no" "cellular" "thu" 17 5 999 0 "nonexistent" "no"
"21942" 38 "management" "married" "high.school" "no" "no" "cellular" "wed" 171 3 999 0 "nonexistent" "no"
"39585" 29 "student" "single" "high.school" "no" "no" "cellular" "tue" 104 1 7 1 "success" "no"
"27547" 44 "admin." "married" "university.degree" "no" "no" "cellular" "fri" 77 5 999 0 "nonexistent" "no"
"40959" 63 "admin." "married" "university.degree" "no" "yes" "cellular" "thu" 174 2 6 1 "success" "no"
"37696" 34 "admin." "single" "university.degree" "no" "no" "cellular" "wed" 195 1 999 0 "nonexistent" "yes"
"4222" 59 "admin." "married" "basic.6y" "no" "yes" "telephone" "tue" 19 15 999 0 "nonexistent" "no"
"5681" 36 "technician" "married" "professional.course" "no" "no" "telephone" "mon" 175 2 999 0 "nonexistent" "no"
"13084" 56 "unemployed" "divorced" "professional.course" "no" "yes" "cellular" "tue" 214 4 999 0 "nonexistent" "no"
"13565" 29 "admin." "single" "university.degree" "no" "no" "cellular" "thu" 441 1 999 0 "nonexistent" "no"
"20728" 32 "management" "married" "university.degree" "no" "yes" "cellular" "wed" 78 3 999 0 "nonexistent" "no"
"30653" 32 "blue-collar" "single" "basic.4y" "no" "yes" "cellular" "tue" 813 2 999 1 "failure" "no"
"10406" 35 "services" "single" "high.school" "no" "no" "telephone" "mon" 41 3 999 0 "nonexistent" "no"
"36261" 30 "blue-collar" "married" "basic.9y" "no" "no" "cellular" "mon" 285 1 999 0 "nonexistent" "no"
"1753" 33 "admin." "married" "high.school" "no" "yes" "telephone" "fri" 125 1 999 0 "nonexistent" "no"
"18173" 40 "technician" "married" "professional.course" "no" "no" "cellular" "wed" 65 5 999 0 "nonexistent" "no"
"28944" 50 "management" "married" "basic.6y" "no" "yes" "cellular" "fri" 704 2 999 0 "nonexistent" "no"
"13136" 29 "blue-collar" "married" "high.school" "no" "yes" "telephone" "wed" 42 1 999 0 "nonexistent" "no"
"4099" 48 "blue-collar" "married" "professional.course" "no" "no" "telephone" "mon" 219 2 999 0 "nonexistent" "no"
"21715" 31 "admin." "single" "high.school" "unknown" "yes" "cellular" "tue" 82 3 999 0 "nonexistent" "no"
"39957" 32 "technician" "married" "university.degree" "no" "no" "cellular" "mon" 132 3 999 1 "failure" "no"
"24655" 50 "blue-collar" "married" "basic.9y" "no" "yes" "cellular" "mon" 35 3 999 0 "nonexistent" "no"
"3049" 51 "blue-collar" "married" "basic.6y" "unknown" "yes" "telephone" "wed" 271 2 999 0 "nonexistent" "no"
"13852" 24 "student" "single" "basic.4y" "no" "no" "cellular" "fri" 159 1 999 0 "nonexistent" "no"
"32805" 33 "admin." "single" "university.degree" "no" "no" "cellular" "mon" 234 1 999 1 "failure" "no"
"2931" 23 "services" "single" "high.school" "no" "no" "telephone" "wed" 354 1 999 0 "nonexistent" "no"
"2627" 35 "blue-collar" "married" "basic.6y" "unknown" "yes" "telephone" "tue" 389 2 999 0 "nonexistent" "no"
"13388" 21 "blue-collar" "single" "basic.9y" "no" "unknown" "cellular" "wed" 359 1 999 0 "nonexistent" "no"
"31329" 34 "admin." "single" "high.school" "no" "yes" "cellular" "wed" 125 2 999 0 "nonexistent" "no"
"29164" 35 "services" "divorced" "high.school" "no" "yes" "cellular" "fri" 107 1 999 0 "nonexistent" "no"
"34835" 31 "admin." "single" "university.degree" "no" "yes" "cellular" "fri" 165 3 999 1 "failure" "no"
"10739" 33 "admin." "single" "high.school" "unknown" "no" "telephone" "tue" 162 7 999 0 "nonexistent" "no"
"23114" 54 "admin." "married" "university.degree" "no" "no" "cellular" "tue" 119 3 999 0 "nonexistent" "no"
"13513" 36 "services" "married" "high.school" "no" "no" "cellular" "thu" 211 1 999 0 "nonexistent" "no"
"22167" 39 "technician" "married" "professional.course" "no" "no" "cellular" "thu" 129 1 999 0 "nonexistent" "no"
"14407" 39 "admin." "married" "university.degree" "no" "no" "cellular" "mon" 171 3 999 0 "nonexistent" "no"
"34796" 36 "blue-collar" "married" "basic.6y" "no" "yes" "cellular" "thu" 125 5 999 0 "nonexistent" "no"
"26657" 33 "blue-collar" "married" "basic.4y" "unknown" "no" "cellular" "thu" 53 1 999 0 "nonexistent" "no"
"10857" 35 "blue-collar" "single" "basic.4y" "unknown" "no" "telephone" "wed" 172 2 999 0 "nonexistent" "no"
"24287" 51 "management" "married" "basic.4y" "no" "no" "cellular" "mon" 96 2 999 0 "nonexistent" "no"
"1918" 32 "services" "married" "high.school" "no" "yes" "telephone" "fri" 432 2 999 0 "nonexistent" "no"
"17078" 46 "management" "married" "university.degree" "no" "no" "cellular" "fri" 153 2 999 0 "nonexistent" "no"
"1370" 28 "blue-collar" "married" "basic.6y" "unknown" "yes" "telephone" "thu" 347 2 999 0 "nonexistent" "no"
"40963" 41 "admin." "single" "high.school" "no" "no" "cellular" "thu" 786 2 999 0 "nonexistent" "no"
"24047" 45 "technician" "divorced" "high.school" "no" "yes" "telephone" "tue" 141 1 999 0 "nonexistent" "yes"
"21007" 57 "technician" "single" "university.degree" "unknown" "yes" "cellular" "thu" 433 3 999 0 "nonexistent" "no"
"36332" 33 "admin." "single" "university.degree" "no" "yes" "cellular" "tue" 198 2 999 0 "nonexistent" "no"
"20670" 58 "admin." "married" "university.degree" "no" "no" "cellular" "wed" 233 2 999 0 "nonexistent" "no"
"20873" 35 "admin." "married" "university.degree" "no" "no" "cellular" "thu" 96 1 999 0 "nonexistent" "no"
"38079" 21 "student" "single" "basic.9y" "no" "unknown" "cellular" "tue" 875 1 999 0 "nonexistent" "yes"
"13164" 51 "management" "married" "university.degree" "no" "no" "cellular" "wed" 110 1 999 0 "nonexistent" "no"
"27936" 36 "self-employed" "married" "university.degree" "no" "yes" "cellular" "fri" 101 1 999 0 "nonexistent" "no"
"25170" 46 "technician" "divorced" "basic.4y" "unknown" "yes" "cellular" "tue" 262 2 999 0 "nonexistent" "no"
"21726" 56 "blue-collar" "married" "basic.4y" "unknown" "yes" "cellular" "tue" 147 3 999 0 "nonexistent" "no"
"37245" 33 "blue-collar" "married" "basic.9y" "no" "no" "cellular" "fri" 99 1 999 2 "failure" "no"
