Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length_1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
51032,169.53.71.249,443,6,125207,4,2,48,23,45,0,12,22.045407685048602,23,0,11.5,16.263455967290593,567.0609470716493,47.92064341450558,25041.4,31586.24653706103,72186,1221,125207,41735.66666666667,38789.82162028247,78533,1221,49574,49574,0,49574,49574,1,0,0,0,128,64,31.94709560967038,15.97354780483519,0,45,10.571428571428571,17.270950011094186,298.2857142857143,0,1,0,0,1,0,0,0,0,12.333333333333334,12,11.5,128,0,0,0,0,0,0,4,48,2,23,1447,514,1,32,0,0,0,0,0,0,0,0,adware
443,10.42.0.211,51032,6,32953,2,1,0,0,0,0,0,0,0,0,0,0,0,91.03875216217035,16476.5,20174.463574033387,30742,2211,32953,32953,0,32953,32953,0,0,0,0,0,0,0,0,0,64,32,60.6925014414469,30.34625072072345,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,1,0,514,1447,0,32,0,0,0,0,0,0,0,0,adware
51618,172.217.0.228,443,6,221429,11,10,821,5211,470,0,74.63636363636363,146.3203832193401,1418,0,521.0999999999999,657.573899522581,27241.23759760465,94.8385261189817,11071.449999999999,17838.14094182817,62877,22,221429,22142.9,27127.61613989208,82476,120,195975,21775,31042.015015942503,77930,22,0,0,0,0,360,328,49.6773232051809,45.161202913800814,0,1418,274.1818181818182,498.97949536683046,248980.5367965368,0,0,0,1,0,0,0,0,0,287.23809523809524,74.63636363636364,521.1,360,0,0,0,0,0,0,11,821,10,5211,65535,349,4,32,0,0,0,0,0,0,0,0,adware
443,10.42.0.211,51618,6,45,2,0,0,0,0,0,0,0,0,0,0,0,0,44444.444444444445,45,0,45,45,45,45,0,45,45,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,adware
52425,172.217.0.228,443,6,152215,16,11,5263,3804,1368,0,328.9375,469.6190610484204,1418,0,345.8181818181818,579.0718121583571,59567.059751010085,177.3806786453372,5854.423076923076,11588.573472772487,50720,10,152215,10147.666666666666,20461.01330288782,76095,10,124522,12452.199999999999,20168.03040457843,50720,16,0,0,0,0,520,360,105.1144762342739,72.2662024110633,0,1418,323.8214285714287,500.8131945347545,250813.85582010585,0,0,0,1,0,0,0,0,0,335.81481481481484,328.9375,345.8181818181818,520,0,0,0,0,0,0,16,5263,11,3804,65535,490,10,32,0,0,0,0,0,0,0,0,adware
60726,172.217.0.228,443,6,136894,9,7,759,1658,451,0,84.33333333333333,155.7361550828837,1418,0,236.85714285714283,523.3846350347669,17655.996610516166,116.87875290370653,9126.266666666666,14229.770972289383,49892,43,136894,17111.75,25936.124183132244,74527,284,109563,18260.5,20863.788503049967,49892,43,0,0,0,0,296,232,65.74429850833492,51.134454395371606,0,1418,142.17647058823533,349.1683396468882,121918.5294117647,0,0,0,1,0,0,0,0,0,151.0625,84.33333333333333,236.85714285714286,296,0,0,0,0,0,0,9,759,7,1658,65535,349,4,32,0,0,0,0,0,0,0,0,adware
46257,172.217.0.228,443,6,141700,16,11,5280,3804,1368,0,330,469.57441724750436,1418,0,345.8181818181818,579.0718121583571,64107.26887791108,190.5434015525759,5449.999999999999,10004.211665093855,39284,10,141700,9446.666666666668,20962.15330633032,76128,10,113240,11324,15998.411046100797,39284,28,0,0,0,0,520,360,112.91460832745237,77.6287932251235,0,1418,324.4285714285715,500.79665634396065,250797.29100529104,0,0,0,1,0,0,0,0,0,336.44444444444446,330,345.8181818181818,520,0,0,0,0,0,0,16,5280,11,3804,65535,490,10,32,0,0,0,0,0,0,0,0,adware
443,10.42.0.211,46257,6,2594,2,0,0,0,0,0,0,0,0,0,0,0,0,771.0100231303007,2594,0,2594,2594,2594,2594,0,2594,2594,0,0,0,0,0,0,0,0,0,64,0,771.0100231303007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,490,-1,0,32,0,0,0,0,0,0,0,0,adware
33034,172.217.0.228,443,6,134143,8,5,757,1285,449,0,94.625,162.3962855838414,1142,0,257,498.59001193365276,15222.560998337594,96.91150488657625,11178.583333333334,14975.405245439992,48815,303,134143,19163.285714285717,27469.9407456847,75953,659,106324,26581,19942.86386989926,48815,303,0,0,0,0,264,168,59.637849160970006,37.273655725606254,0,1142,145.85714285714283,314.15475293429637,98693.20879120879,0,0,0,1,0,0,0,0,0,157.07692307692307,94.625,257,264,0,0,0,0,0,0,8,757,5,1285,65535,349,4,32,0,0,0,0,0,0,0,0,adware
34992,172.217.0.228,443,6,162419,9,6,757,1314,449,0,84.11111111111111,155.14786853550748,1137,0,219,453.1242655166461,12750.971253363214,92.35372708857953,11601.357142857145,21423.38422812125,79269,237,162419,20302.375,35734.654016744425,104512,338,136379,27275.8,32196.027902522383,79269,237,0,0,0,0,296,200,55.41223625314772,36.941490835431814,0,1137,129.4375,294.6803847674064,86836.52916666669,0,0,0,1,0,0,0,0,0,138.06666666666666,84.11111111111111,219,296,0,0,0,0,0,0,9,757,6,1314,65535,349,4,32,0,0,0,0,0,0,0,0,adware
