x	LoC	LoM	LaM	espece
loup1	23.4	15.0	19.1	loup
chien1	17.3	12.8	14.3	chien
chien2	20.5	13.7	16.6	chien
loup2	26.0	16.0	19.4	loup
chien3	20.5	14.4	17.7	chien
chien4	19.0	12.4	14.9	chien
chien5	19.7	13.2	14.0	chien
chien6	19.3	12.9	13.5	chien
chien7	20.5	14.3	15.5	chien
loup3	23.3	15.0	18.7	loup
loup4	23.3	15.8	19.7	loup
?	20.5	14.0	16.7	inconnu
chien8	19.0	13.2	14.2	chien
chien9	16.7	12.5	13.3	chien
chien10	21.3	14.8	17.0	chien
loup5	25.0	16.8	27.0	loup
chien11	19.8	14.3	15.9	chien
chien12	19.5	13.3	14.8	chien
chien13	19.7	14.2	16.0	chien
loup6	23.5	16.5	19.6	loup
chien14	22.5	14.2	17.8	chien
chien15	20.0	14.2	16.5	chien
chien16	20.8	14.1	16.4	chien
chien17	19.9	15.3	17.6	chien
chien18	17.5	11.2	13.8	chien
chien19	17.1	12.1	13.0	chien
chien20	22.5	15.4	18.0	chien
loup7	22.2	14.8	17.0	loup
chien21	17.5	12.7	14.7	chien
loup8	25.3	16.8	15.5	loup
loup9	24.7	15.0	18.5	loup
chien22	20.3	13.9	17.0	chien
chien23	21.0	14.7	18.3	chien
loup10	25.7	15.7	19.0	loup
loup11	25.0	15.3	18.6	loup
chien24	18.5	12.6	14.2	chien
chien25	19.6	14.0	16.4	chien
chien26	19.8	14.3	15.6	chien
chien27	17.9	12.3	15.9	chien
loup12	26.5	16.8	19.3	loup
chien28	21.4	15.0	18.0	chien
chien29	20.7	14.0	16.8	chien
chien30	21.2	15.2	17.0	chien
