"Salary","AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League.A","League.N","Division.E","Division.W","PutOuts","Assists","Errors"
"-Alan Ashby","high",315,81,7,24,38,39,14,3449,835,69,321,414,375,0,1,0,1,632,43,10
"-Andre Dawson","high",496,141,20,65,78,37,11,5628,1575,225,828,838,354,0,1,1,0,200,11,3
"-Andres Galarraga","low",321,87,10,39,42,30,2,396,101,12,48,46,33,0,1,1,0,805,40,4
"-Al Newman","low",185,37,1,23,8,21,2,214,42,1,30,9,24,0,1,1,0,76,127,7
"-Argenis Salazar","low",298,73,0,24,24,7,3,509,108,0,41,37,12,1,0,0,1,121,283,9
"-Andres Thomas","low",323,81,6,26,32,8,2,341,86,6,32,34,8,0,1,0,1,143,290,19
"-Alan Trammell","high",574,159,21,107,75,59,10,4631,1300,90,702,504,488,1,0,1,0,238,445,22
"-Alex Trevino","high",202,53,4,31,26,27,9,1876,467,15,192,186,161,0,1,0,1,304,45,11
"-Andy VanSlyke","high",418,113,13,48,61,47,4,1512,392,41,205,204,203,0,1,1,0,211,11,7
"-Bill Almon","low",196,43,7,29,27,30,13,3231,825,36,376,290,238,0,1,1,0,80,45,8
"-Buddy Biancalana","low",190,46,2,24,8,15,5,479,102,5,65,23,39,1,0,0,1,102,177,16
"-Barry Bonds","low",413,92,16,72,48,65,1,413,92,16,72,48,65,0,1,1,0,280,9,5
"-Bobby Bonilla","low",426,109,3,55,43,62,1,426,109,3,55,43,62,1,0,0,1,361,22,2
"-Brian Downing","high",513,137,20,90,95,90,14,5201,1382,166,763,734,784,1,0,0,1,267,5,3
"-Billy Hatcher","low",419,108,6,55,36,22,3,591,149,8,80,46,31,0,1,0,1,226,7,4
"-Bob Kearney","low",204,49,6,23,25,12,7,1309,308,27,126,132,66,1,0,0,1,419,46,5
"-Bill Schroeder","low",217,46,7,32,19,9,4,694,160,32,86,76,32,1,0,1,0,307,25,1
"-Chris Bando","low",254,68,2,28,26,22,6,999,236,21,108,117,118,1,0,1,0,359,30,4
"-Chris Brown","low",416,132,7,57,49,33,3,932,273,24,113,121,80,0,1,0,1,73,177,18
"-Carlton Fisk","high",457,101,14,42,63,22,17,6521,1767,281,1003,977,619,1,0,0,1,389,39,4
"-Curt Ford","low",214,53,2,30,29,23,2,226,59,2,32,32,27,0,1,1,0,109,7,3
"-Carney Lansford","high",591,168,19,80,72,39,9,4478,1307,113,634,563,319,1,0,0,1,67,147,4
"-Candy Maldonado","low",405,102,18,49,85,20,6,950,231,29,99,138,64,0,1,0,1,161,10,3
"-Craig Reynolds","low",313,78,6,32,41,12,12,3742,968,35,409,321,170,0,1,0,1,106,206,7
"-Cal Ripken","high",627,177,25,98,81,70,6,3210,927,133,529,472,313,1,0,1,0,240,482,13
"-Cory Snyder","low",416,113,24,58,69,16,1,416,113,24,58,69,16,1,0,1,0,203,70,10
"-Chris Speier","low",155,44,6,21,23,15,16,6631,1634,98,698,661,777,0,1,1,0,53,88,3
"-Curt Wilkerson","low",236,56,0,27,15,11,4,1115,270,1,116,64,57,1,0,0,1,125,199,13
"-Daryl Boston","low",199,53,5,29,22,21,3,514,120,8,57,40,39,1,0,0,1,152,3,5
"-Dave Concepcion","low",311,81,3,42,30,26,17,8247,2198,100,950,909,690,0,1,0,1,153,223,10
"-Doug DeCinces","high",512,131,26,69,96,52,14,5347,1397,221,712,815,548,1,0,0,1,119,216,12
"-Dwight Evans","high",529,137,26,86,97,97,15,6661,1785,291,1082,949,989,1,0,1,0,280,10,5
"-Damaso Garcia","high",424,119,6,57,46,13,9,3651,1046,32,461,301,112,1,0,1,0,224,286,8
"-Dan Gladden","low",351,97,4,55,29,39,4,1258,353,16,196,110,117,0,1,0,1,226,7,3
"-Dave Henderson","low",388,103,15,59,47,39,6,2174,555,80,285,274,186,1,0,0,1,182,9,4
"-Donnie Hill","low",339,96,4,37,29,23,4,1064,290,11,123,108,55,1,0,0,1,104,213,9
"-Davey Lopes","high",255,70,7,49,35,43,15,6311,1661,154,1019,608,820,0,1,1,0,51,54,8
"-Dave Parker","high",637,174,31,89,116,56,14,6727,2024,247,978,1093,495,0,1,0,1,278,9,9
"-Don Slaught","high",314,83,13,39,46,16,5,1457,405,28,156,159,76,1,0,0,1,533,40,4
"-Darryl Strawberry","high",475,123,27,76,93,72,4,1810,471,108,292,343,267,0,1,1,0,226,10,6
"-Eddie Milner","high",424,110,15,70,47,36,7,2130,544,38,335,174,258,0,1,0,1,292,6,3
"-Eddie Murray","high",495,151,17,61,84,78,10,5624,1679,275,884,1015,709,1,0,1,0,1045,88,13
"-Ed Romero","low",233,49,2,41,23,18,8,1350,336,7,166,122,106,1,0,1,0,102,132,10
"-George Bell","high",641,198,31,101,108,41,5,2129,610,92,297,319,117,1,0,1,0,269,17,10
"-Glenn Braggs","low",215,51,4,19,18,11,1,215,51,4,19,18,11,1,0,1,0,116,5,12
"-Greg Brock","low",325,76,16,33,52,37,5,1506,351,71,195,219,214,0,1,0,1,726,87,3
"-George Hendrick","high",283,77,14,45,47,26,16,6840,1910,259,915,1067,546,1,0,0,1,144,6,5
"-Glenn Hubbard","high",408,94,4,42,36,66,9,3573,866,59,429,365,410,0,1,0,1,282,487,19
